boat,boatManufacturer,boatModel,boatLength,motorName,motorHP,motorProp,pdfUrl,localFilePath,status
Avalon Catalina 2585 CRB,Avalon,Catalina 2585 CRB,25',2 x BF350,350,Honda Lexor HP3 16 X 21 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/2025 Avalon Catalina  2585CRB  2X BF350 Lexor HP 21P Test 7-16-24.pdf,honda_downloads\2025_Avalon_Catalina__2585CRB__2X_BF350_Lexor_HP_21P_Test_7-16-24.pdf,Downloaded
Brig Eagle 8,Brig,Eagle 8,"26' 3""",BF350,350,Lexor HP3 16 x 19 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/2025 Brig Eagle 8 BF350 Lexor 16X19 4-10-25.pdf,honda_downloads\2025_Brig_Eagle_8_BF350_Lexor_16X19_4-10-25.pdf,Downloaded
Godfrey AquaPatio AP255 ULC,Godfrey,AquaPatio AP255 ULC,25',BF350,350,Honda Lexor HP3 16 X 17 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/2025 Godfrey AquaPatio AP255ULC BF350 Lexor HP 17P 8-8-2024.pdf,honda_downloads\2025_Godfrey_AquaPatio_AP255ULC_BF350_Lexor_HP_17P_8-8-2024.pdf,Downloaded
Qwest 8522L RLS,Qwest,8522L RLS,22',BF200D,200,Solas Lexor 15 3/4 x 15 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/2025 Qwest 8522L RLS BF200 Lexor 15P 8-6-2024.pdf,honda_downloads\2025_Qwest_8522L_RLS_BF200_Lexor_15P_8-6-2024.pdf,Downloaded
Tahoe GEOfish 2385,Tahoe,GEOfish 2385,23',BF150D,150,Solas Titan HR 14 3/4 x 17 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/2025 Tahoe GEOfish 2385 BF150 Titan 17P Test 7-16-2024.pdf,honda_downloads\2025_Tahoe_GEOfish_2385_BF150_Titan_17P_Test_7-16-2024.pdf,Downloaded
Tahoe LTZ 2385 ENT Platinum Edition,Tahoe,LTZ 2385 ENT Platinum Edition,23',BF250D,250,Solas Lexor 15 5/8  X 16 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/2025 Tahoe LTZ 2385 ENT Platinum Edition BF250 Lexor 16P Test 8-7-24.pdf,honda_downloads\2025_Tahoe_LTZ_2385_ENT_Platinum_Edition_BF250_Lexor_16P_Test_8-7-24.pdf,Downloaded
Viaggio Lago 24 S-A,Viaggio,Lago 24 S-A,24',BF350,350,Honda Lexor HP3 16 X 17 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/2025 Viaggio Lago Z24SA BF350 Lexor HP 17P 7-26-2024 4th hole.pdf,honda_downloads\2025_Viaggio_Lago_Z24SA_BF350_Lexor_HP_17P_7-26-2024_4th_hole.pdf,Downloaded
Avalon Venture 1980 CRU,Avalon,Venture 1980 CRU,19',BFP60A,60,Solas Honda 13 ⅘ x 9 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/2026 Avalon Venture 1980 CR BFP60 13.8X9 AL.pdf,honda_downloads\2026_Avalon_Venture_1980_CR_BFP60_13.8X9_AL.pdf,Downloaded
Avalon Venture 2385 QL,Avalon,Venture 2385 QL,23',BF200D,200,Solas Lexor 15 ¾ x 15 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/2026 Avalon Venture 2385 QL BF200D 15P Lexor.pdf,honda_downloads\2026_Avalon_Venture_2385_QL_BF200D_15P_Lexor.pdf,Downloaded
Brig Navigator 24,Brig,Navigator 24,24',BF225D,225,Solas Lexor 15 ¼ x 19 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/2026 Brig Navigator 24 BF225 Lexor 15.25 X 19 6-3-25.pdf,honda_downloads\2026_Brig_Navigator_24_BF225_Lexor_15.25_X_19_6-3-25.pdf,Downloaded
Brig Navigator 24,Brig,Navigator 24,24',BF225D,225,Solas Pro 15 ¼ x 19 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/2026 Brig Navigator 24 BF225 PRO L3 15.25 X 19 6-3-25.pdf,honda_downloads\2026_Brig_Navigator_24_BF225_PRO_L3_15.25_X_19_6-3-25.pdf,Downloaded
Godfrey AquaPatio AP255SFL,Godfrey,AquaPatio AP255SFL,"28' 1""",BF350,350,Lexor HP3 16 x 17 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/2026 Godfrey AP 255 SFL BF350 Lexor 17 8-12-2025.pdf,honda_downloads\2026_Godfrey_AP_255_SFL_BF350_Lexor_17_8-12-2025.pdf,Downloaded
Hurricane 24CC,Hurricane,24CC,"24' 6""",BF350,350,Lexor HP3 16 x 18 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/2026 Hurricane 240CC BF350 18Lexor HP 8-25-25.pdf,honda_downloads\2026_Hurricane_240CC_BF350_18Lexor_HP_8-25-25.pdf,Downloaded
Qwest E-Class 22 Q3V,Qwest,E-Class 22 Q3V,"22""",BF200DK1,200,Solas Lexor 15 ⅝ x 16 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/2026 Qwest E-Class 22 BF200DK1 16Lexor 8-17-25.pdf,honda_downloads\2026_Qwest_E-Class_22_BF200DK1_16Lexor_8-17-25.pdf,Downloaded
Qwest L-Class 22 Q3X,Qwest,L-Class 22 Q3X,"22""",BF250DK1,250,Solas Lexor 15 ⅝ x 18 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/2026 Qwest L-Class 22 BF250DK1 18Lexor 8-19-25.pdf,honda_downloads\2026_Qwest_L-Class_22_BF250DK1_18Lexor_8-19-25.pdf,Downloaded
C Hawk 26,C,Hawk 26,"25' 9""",BF350,350,Solas Lexor Plus 16 X 17 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/24 C Hawk 26 BF350A(17L+).pdf,honda_downloads\24_C_Hawk_26_BF350A17L.pdf,Downloaded
Sea Born FX25,Sea,Born FX25,"24' 11""",BF350,350,Honda Lexor Plus 16 X 19 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/24 SeaBorn FX25 BF350A(J19LP).pdf,honda_downloads\24_SeaBorn_FX25_BF350AJ19LP.pdf,Downloaded
Hewes Craft 260 Pacific Cruiser,Hewes,Craft 260 Pacific Cruiser,28',BF250A - Non-Current,250,Power Tech 15 1/4 x 16 x 4,https://cdn.powerequipment.honda.com/marine/pdf/props/260 Pacific Cruiser - Honda 250.pdf,honda_downloads\260_Pacific_Cruiser_-_Honda_250.pdf,Downloaded
